name,height_cm,reach_in,stance,DOB
Ivana Petrovic,172.72,70.0,Southpaw,1994-06-11
Iwo Baraniewski,182.88,73.0,Orthodox,1998-11-20
Izabela Badurek,165.1,,Orthodox,1991-07-11
JC Cottrell,175.26,,Orthodox,1989-11-04
JJ Aldrich,165.1,67.0,Southpaw,1992-09-29
JP Buys,165.1,67.0,Orthodox,1996-04-30
Jacare Souza,185.42,72.0,Orthodox,1979-12-07
Jack Della Maddalena,180.34,73.0,Switch,1996-09-10
Jack Hermansson,185.42,77.0,Orthodox,1988-06-10
Jack Jenkins,170.18,68.0,Switch,1993-11-03
Jack Marshman,182.88,73.0,Orthodox,1989-12-19
Jack May,203.2,,Switch,1981-04-14
Jack Shore,172.72,71.0,Orthodox,1995-02-06
Jackson McVey,193.04,77.0,Southpaw,1999-03-25
Jacob Kilburn,175.26,72.0,Orthodox,1995-06-28
Jacob Malkoun,175.26,73.0,Orthodox,1995-08-26
Jacob Volkmann,175.26,71.0,Southpaw,1980-09-05
Jacobe Smith,177.8,72.0,Southpaw,1996-01-17
Jacqueline Cavalcanti,172.72,70.0,Orthodox,1997-08-29
Jafel Filho,170.18,68.0,Orthodox,1993-05-05
Jai Herbert,185.42,77.0,Orthodox,1988-05-13
Jailton Almeida,190.5,79.0,Orthodox,1991-06-26
Jairzinho Rozenstruik,187.96,78.0,Orthodox,1988-03-17
Jake Collier,190.5,78.0,Orthodox,1988-10-25
Jake Ellenberger,175.26,71.0,Orthodox,1985-03-28
Jake Hadley,170.18,70.0,Southpaw,1996-08-03
Jake Hecht,182.88,73.0,Orthodox,1984-02-09
Jake Lindsey,180.34,,Switch,1986-06-21
Jake Matthews,180.34,73.0,Orthodox,1994-08-19
Jake O'Brien,190.5,76.0,Orthodox,1984-09-25
Jake Rosholt,185.42,,Orthodox,1982-02-09
Jake Shields,182.88,72.0,Orthodox,1979-01-09
Jakub Wiklacz,177.8,72.0,Orthodox,1996-09-10
Jalin Turner,190.5,77.0,Southpaw,1995-05-18
Jamahal Hill,193.04,79.0,Southpaw,1991-05-19
Jamal Pogues,190.5,77.0,Orthodox,1995-12-01
Jamall Emmers,177.8,74.0,Orthodox,1989-07-24
James Bochnovic,193.04,81.0,Orthodox,1989-02-13
James Giboo,180.34,,Orthodox,1978-01-06
James Hammortree,190.5,,Orthodox,1983-11-29
James Head,185.42,73.0,Orthodox,1984-02-09
James Irvin,187.96,75.0,Orthodox,1978-09-12
James Krause,187.96,73.0,Orthodox,1986-06-04
James Lee,180.34,,Southpaw,1973-09-22
James Llontop,182.88,73.0,Orthodox,1999-08-02
James McSweeney,193.04,77.0,Switch,1980-10-24
James Moontasri,177.8,71.0,Switch,1988-04-10
James Mulheron,177.8,73.0,Orthodox,1988-02-20
James Te Huna,187.96,75.0,Orthodox,1981-09-29
James Toney,175.26,,Orthodox,1968-08-24
James Vick,190.5,76.0,Orthodox,1987-02-23
James Wilks,185.42,75.0,Orthodox,1978-05-04
James Zikic,187.96,,Orthodox,1977-03-01
Jamey Simmons,167.64,70.0,Orthodox,1992-09-11
Jamey-Lyn Horth,170.18,66.0,Orthodox,1990-03-30
Jamie Moyle,154.94,65.0,Orthodox,1989-03-17
Jamie Mullarkey,182.88,74.0,Orthodox,1994-08-17
Jamie Pickett,187.96,80.0,Orthodox,1988-08-29
Jamie Varner,172.72,71.0,Orthodox,1984-10-12
Jamie Yager,185.42,,Orthodox,1983-11-29
Jan Blachowicz,187.96,78.0,Orthodox,1983-02-24
Jaqueline Amorim,160.02,68.0,Orthodox,1995-06-24
Jared Cannonier,180.34,77.0,Switch,1984-03-16
Jared Gooden,182.88,77.0,Orthodox,1993-12-05
Jared Gordon,175.26,68.0,Orthodox,1988-09-06
Jared Hamman,190.5,75.0,Orthodox,1982-03-07
Jared Papazian,172.72,67.0,Southpaw,1988-02-01
Jared Rollins,175.26,,Orthodox,1977-01-26
Jared Rosholt,187.96,75.0,Orthodox,1986-08-04
Jared Vanderaa,193.04,80.0,Orthodox,1992-05-12
Jarjis Danho,190.5,74.0,Orthodox,1983-10-15
Jarno Errens,180.34,73.0,Orthodox,1994-11-17
Jarred Brooks,160.02,62.0,Switch,1993-05-02
Jasmine Jasudavicius,170.18,68.0,Orthodox,1989-03-01
Jason Black,172.72,,Orthodox,1972-07-15
Jason Brilz,180.34,71.0,Orthodox,1975-07-07
Jason Day,182.88,72.0,Orthodox,1981-05-19
Jason Dent,177.8,71.0,Orthodox,1980-06-12
Jason Gilliam,182.88,,Orthodox,1972-10-31
Jason Gonzalez,187.96,74.0,Southpaw,1990-02-28
Jason High,172.72,73.0,Southpaw,1981-10-12
Jason Knight,177.8,71.0,Orthodox,1992-07-14
Jason Lambert,190.5,75.0,Orthodox,1975-06-03
Jason MacDonald,190.5,80.0,Orthodox,1975-06-03
Jason Miller,185.42,,Orthodox,1980-12-24
Jason Novelli,182.88,,Orthodox,1979-06-08
Jason Reinhardt,167.64,,Orthodox,1969-10-31
Jason Saggo,180.34,71.0,Orthodox,1985-11-23
Jason Tan,177.8,,Orthodox,1981-12-17
Jason Thacker,177.8,,Orthodox,1975-08-18
Jason Von Flue,182.88,,Orthodox,1975-08-01
Jason Witt,177.8,70.0,Orthodox,1986-11-07
Jason Young,175.26,73.0,Orthodox,1986-06-28
Javid Basharat,175.26,69.0,Orthodox,1995-09-07
Javier Reyes,170.18,73.0,,1993-10-10
Javier Vazquez,170.18,69.0,Southpaw,1977-07-16
Jay Cucciniello,170.18,,Orthodox,1986-07-23
Jay Hieron,182.88,75.0,Orthodox,1976-07-29
Jay Perrin,170.18,67.0,Switch,1993-06-15
Jay Silva,187.96,,Southpaw,1981-05-25
Jean Matsumoto,167.64,68.0,Orthodox,1999-09-09
Jean Silva,170.18,69.0,Orthodox,1996-12-27
Jean-Paul Lebosnoyani,180.34,72.0,Switch,1999-01-27
Jeff Cox,177.8,,Orthodox,1968-08-02
Jeff Curran,167.64,69.0,Orthodox,1977-09-02
Jeff Hougland,170.18,68.0,Orthodox,1978-08-02
Jeff Hughes,187.96,77.0,Orthodox,1988-05-17
Jeff Joslin,182.88,,Orthodox,1975-04-30
Jeff Molina,167.64,69.0,Orthodox,1997-07-17
Jeff Monson,175.26,74.0,Orthodox,1971-01-18
Jeff Newton,187.96,,Sideways,1966-12-11
Jeka Saragih,172.72,69.0,Orthodox,1995-01-01
Jenel Lausa,165.1,68.0,Orthodox,1988-08-01
Jennifer Maia,162.56,64.0,Orthodox,1988-10-06
Jens Pulver,170.18,70.0,Southpaw,1974-12-06
JeongYeong Lee,177.8,73.0,Orthodox,1995-11-13
Jeremiah Wells,175.26,74.0,Switch,1986-10-30
Jeremy Horn,185.42,74.0,Orthodox,1975-08-25
Jeremy Jackson,177.8,,Orthodox,1982-09-19
Jeremy Kennedy,180.34,71.0,Orthodox,1992-09-16
Jeremy Kimball,182.88,72.0,Switch,1991-01-03
Jeremy Larsen,177.8,70.0,Orthodox,1984-05-18
Jeremy Stephens,175.26,71.0,Orthodox,1986-05-25
Jerome Rivera,177.8,72.0,Southpaw,1995-04-22
Jerrod Sanders,172.72,72.0,Orthodox,1979-10-01
Jess Liaudin,175.26,72.0,Orthodox,
Jessamyn Duke,180.34,73.0,Orthodox,1986-06-24
Jesse Bongfeldt,182.88,,Orthodox,1980-08-28
Jesse Butler,177.8,73.0,Orthodox,1992-05-24
Jesse Forbes,187.96,75.0,Southpaw,1984-10-24
Jesse Lennox,175.26,72.0,Orthodox,1982-03-10
Jesse Ronson,177.8,70.0,Southpaw,1985-12-24
Jesse Sanders,182.88,,Orthodox,
Jesse Strader,170.18,70.0,Orthodox,1991-05-29
Jesse Taylor,182.88,73.0,Orthodox,1983-01-02
Jessica Aguilar,160.02,63.0,Orthodox,1982-05-08
Jessica Andrade,154.94,62.0,Orthodox,1991-09-25
Jessica Eye,167.64,66.0,Orthodox,1986-07-27
Jessica Penne,165.1,67.0,Orthodox,1983-01-30
Jessica Rakoczy,170.18,,Orthodox,1977-04-14
Jessica-Rose Clark,165.1,64.0,Orthodox,1987-11-28
Jessin Ayari,182.88,73.0,Orthodox,1992-05-31
Jesus Aguilar,162.56,62.0,Orthodox,1996-03-13
Jesus Pinedo,177.8,,Southpaw,1996-06-22
Jhonata Diniz,193.04,79.0,Orthodox,1991-06-23
Ji Yeon Kim,170.18,72.0,Orthodox,1989-10-18
Jianping Yang,170.18,,Orthodox,1988-11-27
Jim Alers,175.26,71.0,Orthodox,1986-10-14
Jim Miller,172.72,71.0,Southpaw,1983-08-30
Jim Wallhead,177.8,,Orthodox,1984-03-14
Jimi Manuwa,185.42,79.0,Orthodox,1980-02-18
Jimmie Rivera,162.56,68.0,Orthodox,1989-06-29
Jimmy Crute,187.96,74.0,Orthodox,1996-03-04
Jimmy Flick,170.18,68.0,Orthodox,1990-09-07
Jimmy Quinlan,182.88,,Orthodox,1986-05-25
Jimy Hettes,175.26,71.0,Southpaw,1987-06-09
Jin Soo Son,167.64,69.0,Orthodox,1993-04-01
Jinh Yu Frey,160.02,65.0,Southpaw,1985-05-20
Jiri Prochazka,190.5,80.0,Orthodox,1992-10-14
Joachim Christensen,190.5,76.0,Orthodox,1978-11-07
Joanderson Brito,172.72,72.0,Orthodox,1995-02-11
Joanna Jedrzejczyk,167.64,65.0,Orthodox,1987-08-18
Joanne Wood,167.64,65.0,Orthodox,1985-12-23
Joao Pierini,185.42,,Switch,1971-12-11
Joao Zeferino,180.34,,Orthodox,1986-01-15
Joaquim Silva,172.72,69.0,Southpaw,1989-02-05
Joaquin Buckley,177.8,76.0,Southpaw,1994-04-27
Joby Sanchez,167.64,68.0,Orthodox,1991-06-24
Jocelyn Jones-Lybarger,170.18,64.0,Orthodox,1985-10-04
Jodie Esquibel,154.94,64.0,Orthodox,1986-05-07
Joe Brammer,172.72,,Orthodox,1983-08-23
Joe Doerksen,182.88,75.0,Orthodox,1977-10-09
Joe Duffy,177.8,73.0,Orthodox,1988-02-18
Joe Ellenberger,175.26,72.0,Orthodox,1985-03-28
Joe Giannetti,182.88,74.0,Southpaw,1995-07-05
Joe Jordan,167.64,,Orthodox,1978-07-27
Joe Lauzon,177.8,71.0,Orthodox,1984-05-22
Joe Merritt,182.88,,Orthodox,1984-03-07
Joe Proctor,177.8,72.0,Orthodox,1985-08-10
Joe Pyfer,187.96,75.0,Orthodox,1996-09-17
Joe Riggs,182.88,70.0,Southpaw,1982-09-23
Joe Solecki,175.26,70.0,Orthodox,1993-08-27
Joe Soto,167.64,65.0,Orthodox,1987-03-22
Joe Stevenson,170.18,70.0,Orthodox,1982-06-15
Joe Vedepo,182.88,,Orthodox,1983-01-01
Joe Veres,170.18,,Orthodox,1977-11-09
Joel Alvarez,190.5,77.0,Orthodox,1993-03-02
Joey Beltran,185.42,75.0,Orthodox,1981-12-08
Joey Gambino,170.18,,Orthodox,1988-10-26
Joey Gilbert,180.34,,Orthodox,1976-06-05
Joey Gomez,177.8,71.0,Orthodox,1989-08-29
John Albert,172.72,68.0,Orthodox,1986-10-13
John Alessio,177.8,72.0,Orthodox,1979-07-05
John Allan,185.42,75.0,Orthodox,1993-02-22
John Castaneda,167.64,71.0,Switch,1991-12-18
John Cholish,180.34,74.0,Orthodox,1983-12-17
John Cofer,175.26,,Southpaw,1984-04-29
John Dodson,160.02,66.0,Orthodox,1984-09-26
John Gunderson,175.26,69.0,Orthodox,1979-01-05
John Gunther,175.26,72.0,Orthodox,1985-11-24
John Halverson,175.26,,Southpaw,1972-09-08
John Hathaway,185.42,75.0,Orthodox,1987-07-23
John Howard,170.18,72.0,Orthodox,1983-03-01
John Kolosci,180.34,,Orthodox,1974-11-26
John Lineker,160.02,67.0,Orthodox,1990-06-12
John Maguire,175.26,69.0,Southpaw,1983-05-19
John Makdessi,172.72,68.0,Orthodox,1985-05-03
John Marsh,182.88,,Orthodox,1970-09-15
John Moraga,167.64,66.0,Orthodox,1984-03-20
John Phillips,180.34,75.0,Southpaw,1985-06-09
John Polakowski,177.8,,Orthodox,1981-06-21
John Salter,185.42,74.0,Southpaw,1985-03-21
John Teixeira,170.18,,Orthodox,1986-11-18
John Yannis,170.18,70.0,Southpaw,1994-07-07
Johnny Bedford,177.8,71.0,Orthodox,1983-01-06
Johnny Case,177.8,72.0,Orthodox,1989-06-28
Johnny Eduardo,170.18,71.0,Orthodox,1978-08-03
Johnny Munoz,175.26,71.0,Orthodox,1993-02-16
Johnny Rees,182.88,,Orthodox,1982-10-21
Johnny Walker,198.12,82.0,Orthodox,1992-03-30
Johny Hendricks,175.26,69.0,Southpaw,1983-09-12
Jon Delos Reyes,167.64,67.0,Orthodox,1987-08-19
Jon Fitch,182.88,74.0,Orthodox,1978-02-24
Jon Jones,193.04,84.0,Orthodox,1987-07-19
Jon Madsen,182.88,72.0,Orthodox,1980-02-12
Jon Manley,185.42,,Orthodox,1986-07-07
Jon Olav Einemo,198.12,,Orthodox,1975-12-10
Jon Tuck,180.34,73.0,Orthodox,1984-08-28
Jonathan Brookins,182.88,74.0,Southpaw,1985-08-13
Jonathan Goulet,182.88,73.0,Orthodox,1979-07-13
Jonathan Martinez,172.72,70.0,Southpaw,1994-04-20
Jonathan Meunier,190.5,,Switch,1987-08-04
Jonathan Micallef,182.88,77.0,Southpaw,1999-03-05
Jonathan Pearce,182.88,71.0,Switch,1992-05-01
Jonathan Wiezorek,190.5,,Southpaw,1978-02-10
Jonathan Wilson,187.96,75.0,Southpaw,1987-07-17
Jonavin Webb,177.8,,Orthodox,1989-04-28
Jonny Parsons,175.26,69.0,Orthodox,1991-09-06
JooSang Yoo,170.18,71.0,Orthodox,1994-01-21
Jordan Espinosa,167.64,69.0,Orthodox,1989-11-08
Jordan Griffin,177.8,73.0,Southpaw,1990-02-28
Jordan Johnson,187.96,79.0,Orthodox,1988-11-18
Jordan Leavitt,175.26,71.0,Southpaw,1995-06-02
Jordan Mein,182.88,73.0,Orthodox,1989-10-10
Jordan Radev,170.18,,Southpaw,1976-09-28
Jordan Rinaldi,177.8,72.0,Orthodox,1987-09-25
Jordan Vucenic,177.8,73.0,Orthodox,1996-03-02
Jordan Williams,185.42,75.0,Southpaw,1990-10-13
Jordan Wright,187.96,77.0,Orthodox,1991-10-07
Jorge Gurgel,170.18,69.0,Orthodox,1977-01-25
Jorge Lopez,177.8,,Orthodox,1988-11-21
Jorge Masvidal,180.34,74.0,Orthodox,1984-11-12
Jorge Rivera,185.42,73.0,Orthodox,1972-02-28
Jorge Santiago,185.42,75.0,Orthodox,1980-10-09
Jorge de Oliveira,172.72,,Orthodox,1980-01-22
Jose Aldo,170.18,70.0,Orthodox,1986-09-09
Jose Daniel Medina,182.88,74.0,Orthodox,1991-05-17
Jose Delgado,180.34,74.0,Switch,1998-04-21
Jose Johnson,182.88,71.0,Orthodox,1995-05-20
Jose Maria,165.1,,Orthodox,1982-01-04
Jose Ochoa,170.18,67.0,Southpaw,2000-12-31
Jose Quinonez,172.72,69.0,Southpaw,1990-07-28
Jose Torres,162.56,65.0,Orthodox,1992-08-02
Josefine Knutsson,160.02,60.0,Orthodox,1996-01-16
Joselyne Edwards,172.72,70.0,Orthodox,1995-09-29
Joseph Benavidez,162.56,65.0,Southpaw,1984-07-31
Joseph Gigliotti,180.34,,Orthodox,1993-08-13
Joseph Holmes,193.04,80.0,Orthodox,1995-07-04
Joseph Morales,167.64,69.0,Switch,1994-08-22
Joseph Sandoval,170.18,,Southpaw,1986-05-11
Josh Barnett,190.5,78.0,Orthodox,1977-11-10
Josh Bryant,177.8,,Orthodox,1980-04-23
Josh Clopton,167.64,,Orthodox,1981-07-11
Josh Copeland,185.42,,Orthodox,1982-10-20
Josh Culibao,177.8,73.0,Orthodox,1994-05-24
Josh Emmett,167.64,70.0,Orthodox,1985-03-04
Josh Ferguson,165.1,,Orthodox,1988-05-13
Josh Fremd,193.04,76.0,Orthodox,1994-01-15
Josh Grispi,180.34,74.0,Orthodox,1988-10-14
Josh Haynes,175.26,,Orthodox,1977-07-30
Josh Hendricks,187.96,,Southpaw,1976-08-28
Josh Hokit,185.42,73.0,Orthodox,1997-11-12
Josh Koscheck,177.8,73.0,Orthodox,1977-11-30
Josh Neer,180.34,72.0,Orthodox,1983-03-24
Josh Parisian,193.04,79.0,Orthodox,1989-06-28
Josh Quinlan,182.88,72.0,Orthodox,1993-02-06
Josh Rafferty,182.88,,Orthodox,1981-01-06
Josh Samman,190.5,79.0,Orthodox,1988-03-14
Josh Sampo,162.56,64.0,Orthodox,1984-07-24
Josh Shockley,185.42,,Orthodox,1989-11-15
Josh Shockman,193.04,,Southpaw,1980-12-29
Josh Stansbury,187.96,74.0,Orthodox,1984-11-19
Josh Thomson,177.8,71.0,Orthodox,1978-09-21
Joshua Burkman,177.8,72.0,Orthodox,1980-04-10
Joshua Van,165.1,65.0,Orthodox,2001-10-10
Joshua Weems,172.72,69.0,Orthodox,1994-05-05
Josiah Harrell,170.18,68.0,Southpaw,1998-11-13
Josiane Nunes,157.48,67.0,Southpaw,1993-12-23
Josias Musasa,172.72,74.0,Southpaw,1998-10-10
Journey Newson,165.1,67.0,Orthodox,1989-03-07
Juan Adams,195.58,80.0,Orthodox,1992-01-16
Juan Espino,190.5,80.0,Orthodox,1980-10-09
Juan Manuel Puig,175.26,,Orthodox,1989-04-23
Juancamilo Ronderos,160.02,64.0,Southpaw,1995-02-17
Jules Bruchez,182.88,,Southpaw,1977-08-16
Julia Avila,170.18,68.0,Orthodox,1988-05-11
Julia Polastri,157.48,64.0,Orthodox,1998-03-05
Julian Erosa,185.42,74.0,Southpaw,1989-07-31
Julian Marquez,187.96,72.0,Orthodox,1990-05-08
Juliana Lima,165.1,65.0,Orthodox,1982-03-15
Juliana Miller,170.18,66.0,Orthodox,1996-05-07
Julianna Pena,167.64,69.0,Orthodox,1989-08-19
Julie Kedzie,165.1,,Orthodox,1981-03-18
Julija Stoliarenko,170.18,66.0,Orthodox,1993-04-08
Julio Arce,170.18,70.0,Southpaw,1989-10-27
Julio Paulino,182.88,,Orthodox,1975-12-04
Julius Walker,193.04,78.0,Orthodox,1999-07-16
Jumabieke Tuerxun,170.18,,Orthodox,1986-04-17
JunYong Park,177.8,73.0,Orthodox,1991-02-27
Junie Browning,175.26,,Orthodox,1984-05-12
Junior Albini,190.5,74.0,Orthodox,1991-03-15
Junior Assuncao,175.26,72.0,Orthodox,1981-06-24
Junior Dos Santos,193.04,77.0,Orthodox,1984-01-30
Junior Tafa,190.5,75.0,Orthodox,1996-09-21
Jussier Formiga,165.1,67.0,Orthodox,1985-04-14
Justin Buchholz,182.88,73.0,Orthodox,1983-08-22
Justin Edwards,177.8,70.0,Orthodox,1983-01-26
Justin Eilers,185.42,,Orthodox,1978-06-28
Justin Frazier,182.88,75.0,Southpaw,1989-06-15
Justin Gaethje,180.34,70.0,Orthodox,1988-11-14
Justin James,177.8,,Orthodox,1976-11-08
Justin Jaynes,170.18,68.0,Orthodox,1989-08-10
Justin Jones,180.34,,Orthodox,1987-09-06
Justin Lawrence,172.72,67.0,Orthodox,1990-05-15
Justin Ledet,193.04,80.0,Orthodox,1988-09-28
Justin Levens,180.34,,Orthodox,1980-04-18
Justin McCully,185.42,73.0,Orthodox,1976-02-18
Justin Salas,172.72,70.0,Southpaw,1982-03-13
Justin Scoggins,170.18,66.0,Southpaw,1992-05-02
Justin Tafa,182.88,74.0,Southpaw,1993-12-13
Justin Willis,185.42,78.0,Southpaw,1987-07-19
Justin Wren,187.96,,Orthodox,1987-04-27
Justine Kish,165.1,64.0,Orthodox,1988-04-13
Jutaro Nakao,175.26,,Southpaw,1970-11-30
KB Bhullar,193.04,78.0,Switch,1991-10-12
KJ Noons,177.8,70.0,Orthodox,1982-12-07
Kaan Ofli,170.18,66.0,Orthodox,1993-06-19
Kai Asakura,172.72,69.0,Orthodox,1993-10-31
Kai Kamaka,170.18,69.0,Orthodox,1995-01-05
Kai Kara-France,162.56,69.0,Orthodox,1993-03-26
Kailin Curran,162.56,65.0,Orthodox,1991-04-11
Kajan Johnson,180.34,75.0,Orthodox,1984-04-21
Kalib Starnes,190.5,74.0,Orthodox,1975-01-06
Kalindra Faria,170.18,,Switch,1986-07-23
Kamal Shalorus,172.72,68.0,Orthodox,1972-08-27
Kamaru Usman,182.88,76.0,Switch,1987-05-11
Kamuela Kirk,177.8,75.0,Switch,1994-04-13
Kanako Murata,154.94,62.0,Orthodox,1993-08-10
Karine Gevorgyan,162.56,63.0,,1989-03-09
Karine Silva,165.1,67.0,Orthodox,1993-12-02
Karl Roberson,185.42,74.0,Southpaw,1990-10-04
Karl Williams,190.5,79.0,Orthodox,1990-01-06
Karlos Vemola,182.88,75.0,Orthodox,1985-07-03
Karo Parisyan,177.8,72.0,Orthodox,1982-08-28
Karol Rosa,165.1,67.0,Orthodox,1994-12-30
Karolina Kowalkiewicz,160.02,64.0,Orthodox,1985-10-15
Katlyn Cerminara,175.26,68.0,Orthodox,1988-12-28
Katsunori Kikuno,172.72,66.0,Orthodox,1981-10-31
Kaue Fernandes,175.26,73.0,Orthodox,1995-03-17
Kay Hansen,157.48,63.0,Orthodox,1999-08-14
Kayla Harrison,172.72,66.0,Southpaw,1990-07-02
Kaynan Kruschewsky,182.88,73.0,Orthodox,1991-04-04
Kazuhiro Nakamura,180.34,70.0,Orthodox,1979-07-16
Kazuki Tokudome,180.34,73.0,Southpaw,1987-03-04
Kazula Vargas,172.72,71.0,Southpaw,1985-08-15
Keigo Kunihara,182.88,,Orthodox,
Keiichiro Nakamura,177.8,70.0,Southpaw,1998-12-02
Keita Nakamura,180.34,73.0,Southpaw,1984-05-22
Keith Berish,182.88,,Orthodox,1985-11-14
Keith Jardine,187.96,76.0,Orthodox,1975-10-31
Keith Rockel,182.88,,Orthodox,1965-08-28
Keith Wisniewski,182.88,,Orthodox,1981-10-25
Kelly Dullanty,172.72,,Orthodox,1977-11-04
Kelly Faszholz,172.72,,Orthodox,1985-04-09
Kelvin Gastelum,175.26,71.0,Southpaw,1991-10-24
Ken Shamrock,185.42,72.0,Orthodox,1964-02-11
Ken Stone,172.72,71.0,Southpaw,1982-10-08
Kendall Grove,198.12,79.0,Orthodox,1982-11-12
Kennedy Nzechukwu,195.58,83.0,Southpaw,1992-06-13
Kenny Florian,177.8,74.0,Southpaw,1976-05-26
Kenny Robertson,177.8,74.0,Orthodox,1984-02-14
Kerry Schall,187.96,,Orthodox,1971-08-09
Ketlen Souza,160.02,63.0,Orthodox,1994-08-18
Ketlen Vieira,172.72,68.0,Orthodox,1991-08-26
Kevin Aguilar,170.18,73.0,Orthodox,1988-09-07
Kevin Borjas,165.1,68.0,Orthodox,1997-12-06
Kevin Burns,177.8,74.0,Orthodox,1980-03-03
Kevin Casey,180.34,77.0,Southpaw,1981-06-15
Kevin Christian,200.66,80.0,Orthodox,1995-01-21
Kevin Croom,180.34,73.0,Orthodox,1987-07-15
Kevin Ferguson,187.96,77.0,Orthodox,1974-02-08
Kevin Holland,190.5,81.0,Orthodox,1992-11-05
Kevin Jordan,190.5,,Orthodox,1970-12-31
Kevin Jousset,187.96,75.0,Orthodox,1993-05-02
Kevin Lee,175.26,77.0,Orthodox,1992-09-04
Kevin Natividad,167.64,70.0,Orthodox,1993-04-02
Kevin Randleman,177.8,,Orthodox,1971-08-10
Kevin Vallejos,170.18,68.0,Switch,2001-12-08
Khabib Nurmagomedov,177.8,70.0,Orthodox,1988-09-20
Khadis Ibragimov,190.5,78.0,Orthodox,1995-05-21
Khalid Murtazaliev,182.88,76.0,Orthodox,1993-07-15
Khalid Taha,165.1,69.0,Orthodox,1992-02-15
Khalil Rountree Jr.,185.42,76.0,Southpaw,1990-02-26
Khama Worthy,180.34,74.0,Orthodox,1986-10-15
Khamzat Chimaev,187.96,75.0,Orthodox,1994-05-01
Khaos Williams,182.88,77.0,Orthodox,1994-03-30
Khusein Askhabov,172.72,69.0,Orthodox,1995-02-13
Kiefer Crosbie,180.34,70.0,Switch,1990-04-05
Kiichi Kunimoto,177.8,71.0,Orthodox,1981-05-01
Kimo Leopoldo,190.5,,Orthodox,1968-01-05
King Green,177.8,71.0,Orthodox,1986-09-09
Kiru Sahota,177.8,73.0,Orthodox,1995-05-28
Kit Cope,182.88,,Orthodox,1977-03-17
Klaudia Sygula,172.72,69.0,Orthodox,1998-12-30
Kleydson Rodrigues,165.1,67.0,Orthodox,1995-10-22
Klidson Abreu,182.88,74.0,Orthodox,1992-12-24
Kody Steele,175.26,71.0,Orthodox,1995-04-21
Koji Oishi,172.72,,Orthodox,1977-05-31
Konstantin Erokhin,180.34,,Orthodox,1983-01-31
Kris McCray,182.88,76.0,Orthodox,1981-09-24
Kris Moutinho,170.18,68.0,Southpaw,1992-08-09
Kristian Rothaermel,182.88,,Open Stance,1972-01-31
Kristof Midoux,185.42,,Orthodox,1974-07-30
Kron Gracie,175.26,70.0,Southpaw,1988-07-11
Krzysztof Jotko,185.42,77.0,Southpaw,1989-08-19
Krzysztof Soszynski,185.42,77.0,Open Stance,1977-08-02
Kuniyoshi Hironaka,177.8,70.0,Orthodox,1976-06-17
Kurt Holobaugh,180.34,70.0,Orthodox,1986-09-08
Kurt Pellegrino,172.72,70.0,Orthodox,1979-05-07
Kwan Ho Kwak,165.1,,Switch,1989-06-18
Kyle Bochniak,170.18,70.0,Orthodox,1987-02-05
Kyle Bradley,175.26,71.0,Orthodox,1982-08-19
Kyle Daukaus,187.96,76.0,Southpaw,1993-02-27
Kyle Kingsbury,193.04,79.0,Orthodox,1982-03-22
Kyle Nelson,180.34,71.0,Switch,1991-04-20
Kyle Noke,185.42,76.0,Southpaw,1980-03-18
Kyle Prepolec,177.8,70.0,Southpaw,1989-08-30
Kyle Stewart,182.88,76.0,Orthodox,1989-01-31
Kyle Watson,182.88,,Southpaw,1979-08-09
Kyler Phillips,172.72,72.0,Orthodox,1995-06-12
Kyoji Horiguchi,162.56,63.0,Orthodox,1990-10-12
Kyung Ho Kang,175.26,73.0,Orthodox,1987-09-09
Lance Benoist,180.34,72.0,Southpaw,1988-08-26
Lance Gibson Jr.,175.26,72.0,,1995-02-02
Lando Vannata,175.26,71.0,Orthodox,1992-03-14
Landon Quinones,175.26,70.0,Southpaw,1995-11-21
Lara Procopio,162.56,67.0,Orthodox,1995-11-14
Larissa Pacheco,170.18,,Orthodox,1994-09-07
Laureano Staropoli,185.42,71.0,Orthodox,1993-02-27
Lauren Mueller,165.1,67.0,Orthodox,1991-11-15
Lauren Murphy,165.1,67.0,Orthodox,1983-07-27
Lavar Johnson,193.04,82.0,Orthodox,1977-06-11
Lawrence Lui,170.18,72.0,Orthodox,1996-08-04
Leah Letson,170.18,71.0,Southpaw,1992-08-21
Leandro Issa,170.18,69.0,Orthodox,1983-09-19
Leandro Silva,175.26,72.0,Orthodox,1985-11-11
Lee Murray,190.5,,Orthodox,1977-09-12
Leigh Remedios,170.18,,Orthodox,1976-01-13
Leo Kuntz,177.8,,Orthodox,1983-10-03
Leon Edwards,187.96,74.0,Southpaw,1991-08-25
Leonard Garcia,177.8,68.0,Orthodox,1979-07-14
Leonardo Guimaraes,182.88,,Orthodox,1982-04-15
Leonardo Mafra,177.8,70.0,Orthodox,1989-04-25
Leonardo Morales,172.72,,Southpaw,1992-12-22
Leonardo Santos,182.88,75.0,Orthodox,1980-02-05
Lerone Murphy,175.26,73.0,Orthodox,1991-07-22
Leslie Smith,175.26,66.0,Orthodox,1982-08-17
Levan Makashvili,172.72,68.0,Orthodox,1989-01-07
Lewis Gonzalez,177.8,,Orthodox,1987-09-19
Li Jingliang,182.88,71.0,Orthodox,1988-03-20
Liana Jojua,162.56,62.0,Orthodox,1995-03-22
Liang Na,165.1,67.0,Orthodox,1996-07-27
Liliya Shakirova,162.56,65.0,Orthodox,1991-10-24
